"","LAKE_ID","SAMPLE_ID","SAMPLE_NAME","LOCATION_ID","DATA_PROVIDER","SAMPLE_DATE","TIME","LAKE_PROJ_CODE","Characteristic.Name","Result.Value","Result.Unit","Result.Sample.Fraction","Depth","WATER","LocationName","Y_Coordinate","X_Coordinate","INFO_TYPE","Waterbody_Classification","PWLID","LAB_NAME_CODE","year","ACRES","County","PWS","Beaches","REMARK","STATUS","QUANTITATION_LIMIT","VALIDATOR_QUALIFIERS","INTERPRETED_QUALIFIERS"
"28","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","TRUE COLOR","21","color units","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","UFI","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,"5","none",NA
"29","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","CHLOROPHYLL A","2.8","ug/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","UFI","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,".3","none",NA
"30","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","QA","1",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"31","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","DEPTH","1.1000000000000001","m",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"32","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","QC","2",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"33","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","DEPTH, BOTTOM","1.4","m",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"34","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","PHOSPHORUS",".015900000000000001","mg/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,"3.8","none",NA
"35","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","AMMONIA",".13200000000000001","mg/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,"56","none",NA
"36","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","TEMPERATURE, AIR","19","deg C",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"37","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","PH","8.0500000000000007","pH units",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","UFI","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,"exempt","none",NA
"38","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","QG","0",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"39","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","NITROGEN, NITRATE-NITRITE",".032000000000000001","mg/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,"29","none",NA
"40","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","CHLORIDE","42.2","mg/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,"100","none",NA
"41","0902EAG0083",346,"16-215-03","0902EAG0083_C","CSL",2016-07-03,"08:45:00","215","TEMPERATURE, WATER","17","deg C",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","Weather-Heavy rain on Tuesday 06/28.  Pond level up 2"" as observed on dock.  Cool night ~48F",NA,NA,"none",NA
"42","0902EAG0083",557,"16-215-B3","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","DIHYDRO-ATX-A","<0.01","ug/L",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"SB","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No","sampler notes some plants grow to lake surface","CONFIRMED",NA,"none",NA
"43","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","DEPTH, BOTTOM","1.5","m",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"44","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","QB","3",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"45","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","QA","2",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"46","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","SPECIFIC CONDUCTANCE","218.2","uS/cm",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,"10","none",NA
"47","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","NITROGEN, TOTAL",".433","mg/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,"307","none",NA
"48","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","DEPTH, SECCHI DISK DEPTH","1.5","m",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"SD","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"49","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","QF","4",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"50","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","CHLOROPHYLL A","2.6","ug/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","UFI","2016",40.28814825,"FRANKLIN","No","No",NA,NA,".3","none",NA
"51","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","QD","8",NA,NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"52","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","TEMPERATURE, AIR","22","deg C",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,NA,"none",NA
"53","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","PH","8.4","pH units",NA,NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","UFI","2016",40.28814825,"FRANKLIN","No","No",NA,NA,"exempt","none",NA
"54","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","TRUE COLOR","26","color units","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","UFI","2016",40.28814825,"FRANKLIN","No","No",NA,NA,"5","none",NA
"55","0902EAG0083",581,"16-215-04","0902EAG0083_C","CSL",2016-07-17,"09:50:00","215","PHOSPHORUS",".011800000000000001","mg/L","T",NA,"Eagle Pond","EAGLE POND CENTROID",44.668999,-74.273804,"OW","C","0902-0104","none","2016",40.28814825,"FRANKLIN","No","No",NA,NA,"3.8","none",NA
